Top Genre,Artist Type,Year Released,Top Year,BPM,Artist
Gangster Rap,Solo,2013.0,2013.0,114.0,Wale
Dance Pop,Solo,2013.0,2013.0,130.0,will.i.am
Dance Pop,Solo,2013.0,2013.0,128.0,will.i.am
Comic,Duo,2013.0,2013.0,128.0,Ylvis
Dance Pop,Solo,2013.0,2012.0,128.0,Alesso
EDM,Duo,2013.0,2012.0,122.0,Disclosure
Candy Pop,Duo,2013.0,2012.0,126.0,Icona Pop
Folk-Pop,Solo,2013.0,2012.0,118.0,Phillip Phillips
Folk-Pop,Solo,2013.0,2012.0,121.0,Phillip Phillips
Dance Pop,Band/Group,2013.0,2012.0,180.0,Rudimental
Dance Pop,Duo,2012.0,2014.0,102.0,MKTO
Dance Pop,Solo,2012.0,2014.0,130.0,Pitbull
Complextro,Solo,2012.0,2014.0,128.0,Zedd
Dance Pop,Solo,2012.0,2013.0,128.0,Avicii
Dance Pop,Solo,2012.0,2013.0,93.0,Bridgit Mendler
Dance Pop,Solo,2012.0,2013.0,144.0,Bruno Mars
Dance Pop,Solo,2012.0,2013.0,73.0,Bruno Mars
Dance Pop,Solo,2012.0,2013.0,116.0,Bruno Mars
Dance Pop,Solo,2012.0,2013.0,128.0,Calvin Harris
Dance Pop,Solo,2012.0,2013.0,125.0,Calvin Harris
Dance Pop,Solo,2012.0,2013.0,128.0,Calvin Harris
Dance Pop,Solo,2012.0,2013.0,128.0,Calvin Harris
Dance Pop,Solo,2012.0,2013.0,126.0,Flo Rida
Contemporary Country,Duo,2012.0,2013.0,148.0,Florida Georgia Line
Modern Rock,Band/Group,2012.0,2013.0,90.0,Imagine Dragons
Modern Rock,Band/Group,2012.0,2013.0,136.0,Imagine Dragons
Canadian Pop,Solo,2012.0,2013.0,128.0,Justin Bieber
Dance Pop,Duo,2012.0,2013.0,146.0,Macklemore & Ryan Lewis
Dance Pop,Duo,2012.0,2013.0,95.0,Macklemore & Ryan Lewis
Dance Pop,Duo,2012.0,2013.0,85.0,Macklemore & Ryan Lewis
Pop,Band/Group,2012.0,2013.0,120.0,Maroon 5
Modern Folk Rock,Band/Group,2012.0,2013.0,131.0,Mumford & Sons
Folk-Pop,Band/Group,2012.0,2013.0,103.0,Of Monsters and Men
Dance Pop,Solo,2012.0,2013.0,192.0,P!nk
Dance Pop,Solo,2012.0,2013.0,136.0,Pitbull
Dance Pop,Solo,2012.0,2013.0,127.0,Pitbull
Pop,Solo,2012.0,2013.0,77.0,Taylor Swift
Pop,Solo,2012.0,2013.0,104.0,Taylor Swift
Pop,Solo,2012.0,2013.0,80.0,Taylor Swift
Folk-Pop,Band/Group,2012.0,2013.0,80.0,The Lumineers
Complextro,Solo,2012.0,2013.0,128.0,Zedd
British Soul,Solo,2012.0,2012.0,76.0,Adele
Indie Rock,Band/Group,2012.0,2012.0,150.0,alt-J
Garage Rock,Band/Group,2012.0,2012.0,97.0,Arctic Monkeys
Israeli Pop,Solo,2012.0,2012.0,119.0,Asaf Avidan
Dance Pop,Solo,2012.0,2012.0,128.0,Avicii
Atl Hip Hop,Solo,2012.0,2012.0,86.0,B.o.B
Dance Pop,Solo,2012.0,2012.0,144.0,Bruno Mars
Dance Pop,Solo,2012.0,2012.0,128.0,Calvin Harris
Dance Pop,Solo,2012.0,2012.0,128.0,Calvin Harris
Dance Pop,Solo,2012.0,2012.0,128.0,Calvin Harris
Canadian Pop,Solo,2012.0,2012.0,120.0,Carly Rae Jepsen
Contemporary Country,Solo,2012.0,2012.0,137.0,Carrie Underwood
Dance Pop,Solo,2012.0,2012.0,98.0,Cher Lloyd
Dance Pop,Solo,2012.0,2012.0,130.0,Chris Brown
Dance Pop,Solo,2012.0,2012.0,125.0,DEV
Dance Pop,Solo,2012.0,2012.0,128.0,Flo Rida
Baroque Pop,Band/Group,2012.0,2012.0,126.0,Florence + The Machine
Alternative R&B,Solo,2012.0,2012.0,123.0,Frank Ocean
Alternative R&B,Solo,2012.0,2012.0,130.0,Frank Ocean
Baroque Pop,Band/Group,2012.0,2012.0,184.0,fun.
Baroque Pop,Band/Group,2012.0,2012.0,108.0,fun.
Art Pop,Solo,2012.0,2012.0,156.0,Grimes
Modern Rock,Band/Group,2012.0,2012.0,105.0,Imagine Dragons
Modern Rock,Band/Group,2012.0,2012.0,100.0,Imagine Dragons
Canadian Pop,Solo,2012.0,2012.0,97.0,Justin Bieber
Chicago Rap,Solo,2012.0,2012.0,140.0,Kanye West
Dance Pop,Duo,2012.0,2012.0,120.0,Karmin
Dance Pop,Solo,2012.0,2012.0,134.0,Katy Perry
Dance Pop,Solo,2012.0,2012.0,130.0,Katy Perry
Conscious Hip Hop,Solo,2012.0,2012.0,74.0,Kendrick Lamar
Conscious Hip Hop,Solo,2012.0,2012.0,91.0,Kendrick Lamar
Dance Pop,Solo,2012.0,2012.0,128.0,Kesha
Dance Pop,Solo,2012.0,2012.0,126.0,Kesha
Art Pop,Solo,2012.0,2012.0,94.0,Lana Del Rey
Art Pop,Solo,2012.0,2012.0,122.0,Lana Del Rey
Art Pop,Solo,2012.0,2012.0,86.0,Lana Del Rey
Alternative Metal,Band/Group,2012.0,2012.0,110.0,Linkin Park
Chicago Rap,Solo,2012.0,2012.0,168.0,Lupe Fiasco
Art Pop,Solo,2012.0,2012.0,128.0,MARINA
Art Pop,Solo,2012.0,2012.0,140.0,MARINA
Pop,Band/Group,2012.0,2012.0,93.0,Maroon 5
Pop,Band/Group,2012.0,2012.0,110.0,Maroon 5
Dance Pop,Solo,2012.0,2012.0,179.0,Miguel
Modern Rock,Band/Group,2012.0,2012.0,180.0,Muse
Modern Alternative Rock,Band/Group,2012.0,2012.0,155.0,Neon Trees
Dance Pop,Solo,2012.0,2012.0,125.0,Nicki Minaj
Folk-Pop,Band/Group,2012.0,2012.0,112.0,Of Monsters and Men
Dance Pop,Solo,2012.0,2012.0,106.0,Olly Murs
Boy Band,Band/Group,2012.0,2012.0,125.0,One Direction
Boy Band,Band/Group,2012.0,2012.0,126.0,One Direction
EDM,Solo,2012.0,2012.0,126.0,Otto Knows
Indietronica,Band/Group,2012.0,2012.0,126.0,Owl City
Dance Pop,Solo,2012.0,2012.0,114.0,P!nk
Alternative Dance,Band/Group,2012.0,2012.0,101.0,Passion Pit
K-Pop,Solo,2012.0,2012.0,132.0,PSY
Dance Pop,Solo,2012.0,2012.0,72.0,Rita Ora
Dance Pop,Solo,2012.0,2012.0,116.0,Robbie Williams
Gangster Rap,Solo,2012.0,2012.0,128.0,ScHoolboy Q
Dance Pop,Band/Group,2012.0,2012.0,129.0,Swedish House Mafia
Pop,Solo,2012.0,2012.0,77.0,Taylor Swift
Pop,Solo,2012.0,2012.0,86.0,Taylor Swift
Folk-Pop,Band/Group,2012.0,2012.0,80.0,The Lumineers
Boy Band,Band/Group,2012.0,2012.0,128.0,The Wanted
Downtempo,Band/Group,2012.0,2012.0,92.0,The xx
Dance Pop,Band/Group,2012.0,2012.0,122.0,Train
Dance Pop,Band/Group,2012.0,2012.0,140.0,Train
Dance Pop,Solo,2012.0,2012.0,150.0,Trey Songz
Dance Pop,Solo,2012.0,2012.0,99.0,Tyga
Dance Pop,Solo,2012.0,2012.0,95.0,Tyga
Atl Hip Hop,Solo,2012.0,2012.0,136.0,Usher
Dance Pop,Band/Group,2012.0,2012.0,140.0,WALK THE MOON
Dance Pop,Solo,2012.0,2012.0,140.0,Wiz Khalifa
Dance Pop,Solo,2012.0,2011.0,128.0,Calvin Harris
Dancefloor Dnb,Solo,2012.0,2011.0,140.0,DJ Fresh
Dance Pop,Solo,2012.0,2011.0,126.0,Katy Perry
Dance Pop,Solo,2012.0,2011.0,152.0,Katy Perry
Indie Poptimism,Solo,2012.0,2011.0,153.0,Labrinth
Dance Pop,Solo,2012.0,2010.0,125.0,Katy Perry
La Indie,Band/Group,2011.0,2013.0,119.0,AWOLNATION
Big Room,Solo,2011.0,2013.0,130.0,David Guetta
British Soul,Solo,2011.0,2012.0,120.0,Adele
Modern Alternative Rock,Solo,2011.0,2012.0,126.0,Alex Clare
Dance Pop,Solo,2011.0,2012.0,126.0,Avicii
Dance Pop,Solo,2011.0,2012.0,150.0,Bruno Mars
Permanent Wave,Band/Group,2011.0,2012.0,140.0,Coldplay
Permanent Wave,Band/Group,2011.0,2012.0,85.0,Coldplay
Big Room,Solo,2011.0,2012.0,128.0,David Guetta
Canadian Hip Hop,Solo,2011.0,2012.0,122.0,Drake
Canadian Hip Hop,Solo,2011.0,2012.0,202.0,Drake
Australian Pop,Solo,2011.0,2012.0,129.0,Gotye
Dance Pop,Band/Group,2011.0,2012.0,130.0,Gym Class Heroes
East Coast Hip Hop,Solo,2011.0,2012.0,140.0,JAY-Z
Dance Pop,Duo,2011.0,2012.0,130.0,LMFAO
Dance Pop,Solo,2011.0,2012.0,125.0,Nicki Minaj
Barbadian Pop,Solo,2011.0,2012.0,128.0,Rihanna
Barbadian Pop,Solo,2011.0,2012.0,128.0,Rihanna
Uk Hip Hop,Duo,2011.0,2012.0,98.0,Rizzle Kicks
Brostep,Solo,2011.0,2012.0,110.0,Skrillex
G Funk,Solo,2011.0,2012.0,95.0,Snoop Dogg
British Soul,Solo,2011.0,2011.0,105.0,Adele
British Soul,Solo,2011.0,2011.0,108.0,Adele
Dance Pop,Solo,2011.0,2011.0,127.0,Alexandra Stan
Canadian Pop,Solo,2011.0,2011.0,150.0,Avril Lavigne
Detroit Hip Hop,Duo,2011.0,2011.0,90.0,Bad Meets Evil
Dance Pop,Solo,2011.0,2011.0,94.0,Beyoncé
Dance Pop,Solo,2011.0,2011.0,99.0,Beyoncé
Pop,Solo,2011.0,2011.0,166.0,Birdy
Contemporary Country,Solo,2011.0,2011.0,206.0,Blake Shelton
Eau Claire Indie,Band/Group,2011.0,2011.0,148.0,Bon Iver
Dance Pop,Solo,2011.0,2011.0,130.0,Britney Spears
Dance Pop,Solo,2011.0,2011.0,132.0,Britney Spears
Dancefloor Dnb,Duo,2011.0,2011.0,140.0,Chase & Status
Grime,Solo,2011.0,2011.0,190.0,Chip
Dance Pop,Solo,2011.0,2011.0,146.0,Chris Brown
Dance Pop,Solo,2011.0,2011.0,130.0,Chris Brown
Dance Pop,Solo,2011.0,2011.0,75.0,Christina Perri
Dance Pop,Band/Group,2011.0,2011.0,132.0,Cobra Starship
Permanent Wave,Band/Group,2011.0,2011.0,140.0,Coldplay
Permanent Wave,Band/Group,2011.0,2011.0,118.0,Coldplay
Big Room,Solo,2011.0,2011.0,130.0,David Guetta
Dance Pop,Solo,2011.0,2011.0,149.0,DJ Khaled
G Funk,Solo,2011.0,2011.0,156.0,Dr. Dre
Canadian Hip Hop,Solo,2011.0,2011.0,152.0,Drake
Pop,Solo,2011.0,2011.0,85.0,Ed Sheeran
Pop,Solo,2011.0,2011.0,160.0,Ed Sheeran
Contemporary Country,Solo,2011.0,2011.0,104.0,Eric Church
Dance Pop,Solo,2011.0,2011.0,127.0,Example
Baroque Pop,Band/Group,2011.0,2011.0,107.0,Florence + The Machine
Indietronica,Band/Group,2011.0,2011.0,128.0,Foster The People
Indie Pop,Band/Group,2011.0,2011.0,113.0,Grouplove
Dance Pop,Band/Group,2011.0,2011.0,90.0,Gym Class Heroes
Dance Pop,Band/Group,2011.0,2011.0,100.0,Hot Chelle Rae
Dance Pop,Solo,2011.0,2011.0,92.0,Jason Derulo
Dance Pop,Solo,2011.0,2011.0,122.0,Jason Derulo
Dance Pop,Solo,2011.0,2011.0,130.0,Jennifer Lopez
Dance Pop,Solo,2011.0,2011.0,140.0,Jessie J
Atl Hip Hop,Solo,2011.0,2011.0,141.0,Kelly Rowland
Contemporary Country,Band/Group,2011.0,2011.0,143.0,Lady A
Art Pop,Solo,2011.0,2011.0,124.0,Lady Gaga
Art Pop,Solo,2011.0,2011.0,128.0,Lady Gaga
Hip Hop,Solo,2011.0,2011.0,79.0,Lil Wayne
Hip Hop,Solo,2011.0,2011.0,154.0,Lil Wayne
Dance Pop,Duo,2011.0,2011.0,130.0,LMFAO
Dance Pop,Duo,2011.0,2011.0,130.0,LMFAO
Chicago Rap,Solo,2011.0,2011.0,143.0,Lupe Fiasco
French Shoegaze,Duo,2011.0,2011.0,105.0,M83
Hip Hop,Solo,2011.0,2011.0,163.0,Mac Miller
Pop Rap,Solo,2011.0,2011.0,104.0,Mann
Alternative Metal,Band/Group,2011.0,2011.0,188.0,Nickelback
Indie Folk,Band/Group,2011.0,2011.0,82.0,Noah And The Whale
Dance Pop,Solo,2011.0,2011.0,111.0,Olly Murs
Dance Pop,Solo,2011.0,2011.0,129.0,Pitbull
Dance Pop,Solo,2011.0,2011.0,128.0,Pitbull
Alternative Rock,Band/Group,2011.0,2011.0,106.0,Red Hot Chili Peppers
Barbadian Pop,Solo,2011.0,2011.0,128.0,Rihanna
Uk Hip Hop,Duo,2011.0,2011.0,115.0,Rizzle Kicks
Electro House,Solo,2011.0,2011.0,128.0,Sak Noel
Dance Pop,Band/Group,2011.0,2011.0,117.0,Selena Gomez & The Scene
Dance Pop,Band/Group,2011.0,2011.0,101.0,Selena Gomez & The Scene
G Funk,Solo,2011.0,2011.0,130.0,Snoop Dogg
Dance Pop,Band/Group,2011.0,2011.0,127.0,Swedish House Mafia
Dance Pop,Solo,2011.0,2011.0,128.0,Taio Cruz
Boy Band,Band/Group,2011.0,2011.0,127.0,The Wanted
Dance Pop,Solo,2011.0,2011.0,164.0,Wiz Khalifa
Dance Pop,Solo,2011.0,2011.0,125.0,Wiz Khalifa
Pop Rap,Band/Group,2011.0,2010.0,85.0,Cali Swag District
Dance Pop,Solo,2011.0,2010.0,74.0,Chris Brown
Atl Hip Hop,Solo,2011.0,2010.0,125.0,Kelly Rowland
Talent Show,Solo,2011.0,2010.0,82.0,Matt Cardle
Pop,Solo,2011.0,2010.0,158.0,Taylor Swift
Celtic Rock,Band/Group,2011.0,2010.0,174.0,The Script
Dancefloor Dnb,Solo,2010.0,2012.0,175.0,DJ Fresh
Dance Pop,Solo,2010.0,2012.0,120.0,Ellie Goulding
Dance Pop,Band/Group,2010.0,2011.0,94.0,Black Eyed Peas
Dance Pop,Solo,2010.0,2011.0,110.0,Bruno Mars
Dance Pop,Solo,2010.0,2011.0,145.0,Bruno Mars
Dance Pop,Solo,2010.0,2011.0,175.0,Bruno Mars
Big Room,Solo,2010.0,2011.0,128.0,David Guetta
Hip Pop,Duo,2010.0,2011.0,168.0,Diddy - Dirty Money
Romanian House,Solo,2010.0,2011.0,127.0,Edward Maya
Dance Pop,Solo,2010.0,2011.0,126.0,Enrique Iglesias
Asian American Hip Hop,Band/Group,2010.0,2011.0,96.0,Far East Movement
Contemporary Country,Solo,2010.0,2011.0,127.0,Jason Aldean
Chicago Rap,Solo,2010.0,2011.0,160.0,Jeremih
Chicago Rap,Solo,2010.0,2011.0,142.0,Kanye West
Dance Pop,Solo,2010.0,2011.0,124.0,Katy Perry
Dance Pop,Solo,2010.0,2011.0,160.0,Keri Hilson
Dance Pop,Solo,2010.0,2011.0,120.0,Kesha
Dance Pop,Solo,2010.0,2011.0,120.0,Kesha
Pop,Band/Group,2010.0,2011.0,128.0,Maroon 5
Dance Pop,Solo,2010.0,2011.0,81.0,Miguel
Dance Pop,Solo,2010.0,2011.0,127.0,Nicki Minaj
Dance Pop,Solo,2010.0,2011.0,122.0,P!nk
Barbadian Pop,Solo,2010.0,2011.0,128.0,Rihanna
Barbadian Pop,Solo,2010.0,2011.0,100.0,Rihanna
Contemporary Country,Band/Group,2010.0,2011.0,131.0,The Band Perry
Atl Hip Hop,Solo,2010.0,2011.0,125.0,Usher
Atl Hip Hop,Solo,2010.0,2011.0,131.0,Waka Flocka Flame
Dance Pop,Duo,2010.0,2010.0,138.0,3OH!3
Pop Soul,Solo,2010.0,2010.0,95.0,Aloe Blacc
Atl Hip Hop,Solo,2010.0,2010.0,93.0,B.o.B
Atl Hip Hop,Solo,2010.0,2010.0,104.0,B.o.B
Atl Hip Hop,Solo,2010.0,2010.0,82.0,B.o.B
Dance Pop,Band/Group,2010.0,2010.0,128.0,Black Eyed Peas
Dance Pop,Solo,2010.0,2010.0,146.0,Bruno Mars
Dance Pop,Solo,2010.0,2010.0,109.0,Bruno Mars
Atl Hip Hop,Solo,2010.0,2010.0,127.0,CeeLo Green
Dance Pop,Solo,2010.0,2010.0,150.0,DJ Khaled
Canadian Hip Hop,Solo,2010.0,2010.0,100.0,Drake
Canadian Hip Hop,Solo,2010.0,2010.0,96.0,Drake
Disco House,Duo,2010.0,2010.0,128.0,Duck Sauce
Romanian House,Solo,2010.0,2010.0,127.0,Edward Maya
Lilith,Solo,2010.0,2010.0,133.0,Eliza Doolittle
Dance Pop,Solo,2010.0,2010.0,150.0,Ellie Goulding
Detroit Hip Hop,Solo,2010.0,2010.0,87.0,Eminem
Detroit Hip Hop,Solo,2010.0,2010.0,115.0,Eminem
Dance Pop,Solo,2010.0,2010.0,129.0,Enrique Iglesias
Dance Pop,Solo,2010.0,2010.0,126.0,Example
Asian American Hip Hop,Band/Group,2010.0,2010.0,125.0,Far East Movement
Dance Pop,Solo,2010.0,2010.0,128.0,Flo Rida
Dance Pop,Solo,2010.0,2010.0,128.0,INNA
Dance Pop,Solo,2010.0,2010.0,144.0,Jason Derulo
Dance Pop,Solo,2010.0,2010.0,89.0,Jason Derulo
Dance Pop,Solo,2010.0,2010.0,110.0,Jason Derulo
Canadian Pop,Solo,2010.0,2010.0,65.0,Justin Bieber
Dance Pop,Solo,2010.0,2010.0,120.0,Katy Perry
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
Dance Pop,Solo,2010.0,2010.0,125.0,Kesha
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
Hip Hop,Solo,2010.0,2010.0,76.0,Lil Wayne
Atl Hip Hop,Solo,2010.0,2010.0,85.0,Ludacris
Atl Hip Hop,Solo,2010.0,2010.0,144.0,Ludacris
Pop,Band/Group,2010.0,2010.0,103.0,Maroon 5
Dance Pop,Solo,2010.0,2010.0,130.0,Mike Posner
Dance Pop,Solo,2010.0,2010.0,117.0,Miley Cyrus
Modern Alternative Rock,Band/Group,2010.0,2010.0,148.0,Neon Trees
Grime,Duo,2010.0,2010.0,147.0,Plan B
Barbadian Pop,Solo,2010.0,2010.0,126.0,Rihanna
Barbadian Pop,Solo,2010.0,2010.0,100.0,Rihanna
Barbadian Pop,Solo,2010.0,2010.0,156.0,Rihanna
Art Pop,Solo,2010.0,2010.0,117.0,Robyn
Acoustic Pop,Solo,2010.0,2010.0,119.0,Sara Bareilles
Belgian Pop,Solo,2010.0,2010.0,120.0,Stromae
Contemporary Country,Duo,2010.0,2010.0,84.0,Sugarland
Dance Pop,Band/Group,2010.0,2010.0,125.0,Swedish House Mafia
Dance Pop,Band/Group,2010.0,2010.0,125.0,Swedish House Mafia
Dance Pop,Solo,2010.0,2010.0,120.0,Taio Cruz
Dance Pop,Solo,2010.0,2010.0,122.0,Taio Cruz
Boy Band,Band/Group,2010.0,2010.0,101.0,Take That
Pop,Solo,2010.0,2010.0,142.0,Taylor Swift
Pop,Solo,2010.0,2010.0,121.0,Taylor Swift
Contemporary Country,Band/Group,2010.0,2010.0,131.0,The Band Perry
Boy Band,Band/Group,2010.0,2010.0,134.0,The Wanted
EDM,Solo,2010.0,2010.0,126.0,Tim Berg
Dance Pop,Solo,2010.0,2010.0,91.0,Tinie Tempah
Dance Pop,Solo,2010.0,2010.0,123.0,Tinie Tempah
Dance Pop,Band/Group,2010.0,2010.0,97.0,Train
Dance Pop,Solo,2010.0,2010.0,87.0,Travie McCoy
Dance Pop,Solo,2010.0,2010.0,74.0,Trey Songz
Indie Rock,Band/Group,2010.0,2010.0,139.0,Two Door Cinema Club
Atl Hip Hop,Solo,2010.0,2010.0,120.0,Usher
Atl Hip Hop,Solo,2010.0,2010.0,130.0,Usher
Atl Hip Hop,Solo,2010.0,2010.0,96.0,Usher
Atl Hip Hop,Solo,2010.0,2010.0,131.0,Waka Flocka Flame
Dance Pop,Band/Group,2009.0,2011.0,95.0,OneRepublic
Dance Pop,Duo,2009.0,2010.0,140.0,3OH!3
Dance Pop,Band/Group,2009.0,2010.0,92.0,Black Eyed Peas
Big Room,Solo,2009.0,2010.0,130.0,David Guetta
Big Room,Solo,2009.0,2010.0,130.0,David Guetta
Dance Pop,Solo,2009.0,2010.0,91.0,Iyaz
Dance Pop,Solo,2009.0,2010.0,132.0,Jay Sean
Dance Pop,Solo,2009.0,2010.0,126.0,Jay Sean
East Coast Hip Hop,Solo,2009.0,2010.0,140.0,JAY-Z
Neo Mellow,Solo,2009.0,2010.0,97.0,John Mayer
Neo Mellow,Solo,2009.0,2010.0,115.0,John Mayer
Reggae Fusion,Solo,2009.0,2010.0,76.0,K'NAAN
Idol,Solo,2009.0,2010.0,92.0,Kris Allen
Art Pop,Solo,2009.0,2010.0,119.0,Lady Gaga
Art Pop,Solo,2009.0,2010.0,122.0,Lady Gaga
Art Pop,Solo,2009.0,2010.0,99.0,Lady Gaga
Indietronica,Band/Group,2009.0,2010.0,180.0,Owl City
Barbadian Pop,Solo,2009.0,2010.0,174.0,Rihanna
Barbadian Pop,Solo,2009.0,2010.0,182.0,Rihanna
Dutch House,Solo,2009.0,2010.0,126.0,Sidney Samson
Dance Pop,Solo,2009.0,2010.0,116.0,Timbaland
Dance Pop,Solo,2009.0,2010.0,126.0,Timbaland
Dance Pop,Solo,2009.0,2010.0,93.0,Trey Songz
Dance Pop,Band/Group,2009.0,2010.0,148.0,Young Money
Classic Rock,Band/Group,1975.0,2019.0,144.0,Queen
